域名不能为空,"Domain cannot be empty"
请选择域名商账号,请选择域名商账号
跳过购买（使用已有域名）,跳过购买（使用已有域名）
"开始购买域名: %{1}","开始购买域名: %{1}"
创建配置订单失败,创建配置订单失败
配置失败,配置失败
"配置订单已创建，订单号: #%{1}","配置订单已创建，订单号: #%{1}"
"域名购买成功，订单号: #%{1}","域名购买成功，订单号: #%{1}"
"开始配置 DNS...","开始配置 DNS..."
"DNS 配置完成","DNS 配置完成"
"DNS 配置需要手动处理","DNS 配置需要手动处理"
"开始绑定 CDN...","开始绑定 CDN..."
"CDN 绑定成功","CDN binding succeeded"
"正在切换 NS 服务器...","正在切换 NS 服务器..."
"NS 服务器切换成功","NS 服务器切换成功"
"NS 切换失败: %{1}","NS 切换失败: %{1}"
"CDN 绑定失败","CDN 绑定失败"
验证域名解析...,验证域名解析...
"服务器 IP: %{1}","服务器 IP: %{1}"
"域名解析成功: %{1} -> %{2}","域名解析成功: %{1} -> %{2}"
"等待 DNS 生效... (%{1}/6)","等待 DNS 生效... (%{1}/6)"
"DNS 可能尚未生效，请稍后手动验证","DNS 可能尚未生效，请稍后手动验证"
验证网站可访问性...,验证网站可访问性...
网站可正常访问,网站可正常访问
"网站暂时无法访问，DNS 可能仍在传播中","网站暂时无法访问，DNS 可能仍在传播中"
"开始申请 SSL 证书...","开始申请 SSL 证书..."
"SSL 证书申请成功","SSL 证书申请成功"
"SSL 证书申请需要进一步验证","SSL 证书申请需要进一步验证"
"跳过 SSL 证书申请","跳过 SSL 证书申请"
一站式配置完成！,一站式配置完成！
"配置过程发生错误: %{1}","配置过程发生错误: %{1}"
全部,All
待处理,Pending
购买中,Purchasing
DNS,DNS
CDN,CDN
SSL,SSL
已完成,Completed
失败,Failed
域名生命周期编排,域名生命周期编排
"轮询域名生命周期订单，推进 DNS、解析、验证与 HTTPS 流程","轮询域名生命周期订单，推进 DNS、解析、验证与 HTTPS 流程"
"域名生命周期轮询完成：处理 %{processed} 条，完成 %{completed} 条，失败 %{failed} 条","域名生命周期轮询完成：处理 %{processed} 条，完成 %{completed} 条，失败 %{failed} 条"
域名生命周期轮询失败：%{error},域名生命周期轮询失败：%{error}
"SaaS 配置 - 绑定 DNS","SaaS 配置 - 绑定 DNS"
"一站式配置流程执行 DNS 绑定步骤时触发，观察者可在此创建 Zone/记录（如通过 Terraform）。","一站式配置流程执行 DNS 绑定步骤时触发，观察者可在此创建 Zone/记录（如通过 Terraform）。"
"SaaS 查询器不支持的操作：%{1}","SaaS 查询器不支持的操作：%{1}"
"SaaS 配置编排查询","SaaS 配置编排查询"
"提供一站式配置编排能力：域名购买、DNS 绑定、CDN 绑定、SSL 证书申请","提供一站式配置编排能力：域名购买、DNS 绑定、CDN 绑定、SSL 证书申请"
启动配置流程：购买域名,启动配置流程：购买域名
域名,域名
"域名商账号 ID","域名商账号 ID"
"购买年限，默认 1","购买年限，默认 1"
"网站 ID","网站 ID"
"是否自动创建站点 yes/no","是否自动创建站点 yes/no"
"DNS 供应商","DNS 供应商"
"DNS 账户 ID","DNS 账户 ID"
"CDN 供应商","CDN 供应商"
"CDN 账户 ID","CDN 账户 ID"
"是否申请 SSL 证书","是否申请 SSL 证书"
为已购买域名启动生命周期编排,为已购买域名启动生命周期编排
是否自动解析到本服务器,是否自动解析到本服务器
子域名列表,子域名列表
"DNS 策略","DNS 策略"
"自定义 Nameserver","自定义 Nameserver"
"CDN 策略","CDN 策略"
获取配置订单详情,获取配置订单详情
"订单 ID","订单 ID"
根据域名获取配置订单,根据域名获取配置订单
按根域名获取生命周期状态详情,按根域名获取生命周期状态详情
根域名,根域名
获取配置订单列表,获取配置订单列表
按状态过滤,按状态过滤
页码,页码
每页数量,每页数量
推进生命周期订单到下一状态,推进生命周期订单到下一状态
"执行 DNS 绑定步骤","执行 DNS 绑定步骤"
"执行 CDN 绑定步骤","执行 CDN 绑定步骤"
"执行 SSL 证书申请步骤","执行 SSL 证书申请步骤"
"切换域名 NS 到 CDN 供应商","切换域名 NS 到 CDN 供应商"
"NS 列表","NS 列表"
获取订单的步骤记录,获取订单的步骤记录
"获取当前服务器公网 IP","获取当前服务器公网 IP"
"域名和域名商账号 ID 不能为空","域名和域名商账号 ID 不能为空"
"订单 ID 无效","订单 ID 无效"
"订单 ID 和 NS 列表不能为空","订单 ID 和 NS 列表不能为空"
证书签发后更新配置订单状态失败：%{1},"Failed to update provisioning order after certificate issued: %{1}"
域名购买成功后续生命周期步骤失败：%{1},域名购买成功后续生命周期步骤失败：%{1}
事件数据格式错误,事件数据格式错误
"请选择域名商账号（registrar_account_id 无效）","请选择域名商账号（registrar_account_id 无效）"
启动一站式配置失败：%{1},启动一站式配置失败：%{1}
查询配置订单失败：%{1},查询配置订单失败：%{1}
一站式配置,一站式配置
"域名购买→DNS→CDN→SSL 全自动配置流程","域名购买→DNS→CDN→SSL 全自动配置流程"
"SaaS 一站式配置：域名购买、DNS 绑定、CDN 绑定、SSL 证书申请","SaaS one-stop: domain purchase, DNS bind, CDN bind, SSL certificate"
域名和账号不能为空,域名和账号不能为空
生命周期订单创建成功，但无法读取订单,生命周期订单创建成功，但无法读取订单
配置订单不存在,"Provisioning order not found"
等待根域名同步到本地,等待根域名同步到本地
"等待根域/@/www 解析到当前服务器","等待根域/@/www 解析到当前服务器"
等待域名可访问,等待域名可访问
"等待 HTTPS 生效","等待 HTTPS 生效"
域名全流程已完成,域名全流程已完成
"未找到该域名的生命周期订单。若通过域名购买功能购买，请确认购买时已勾选「启动全流程状态跟踪」，且 Weline_Saas 模块已启用。","未找到该域名的生命周期订单。若通过域名购买功能购买，请确认购买时已勾选「启动全流程状态跟踪」，且 Weline_Saas 模块已启用。"
该域名已有进行中的配置流程,"This domain already has a provisioning flow in progress"
"配置订单已创建（使用已有域名），请继续 DNS/CDN/证书 步骤","配置订单已创建（使用已有域名），请继续 DNS/CDN/证书 步骤"
购买失败,购买失败
"域名购买成功，请继续 DNS/CDN/证书 步骤","Domain purchased. Continue with DNS/CDN/certificate steps"
"DNS 绑定已提交","DNS binding submitted"
"DNS 步骤已记录，可由 Terraform 等模块执行","DNS step recorded; Terraform or other modules may execute it"
"请指定 CDN 供应商与账户，或先在订单中配置 cdn_vendor/cdn_account_id","Specify CDN vendor and account, or set cdn_vendor/cdn_account_id on the order"
"CDN 适配器不存在：%{1}","CDN adapter not found: %{1}"
"CDN 账户不存在","CDN account not found"
"ensureZone 失败","ensureZone 失败"
"ensureZone 未返回 zone_id","ensureZone did not return zone_id"
"已跳过 SSL，流程完成","SSL skipped; flow completed"
证书申请成功,"Certificate requested successfully"
证书申请失败,证书申请失败
域名商账号未配置,域名商账号未配置
"SaaS 配置订单","SaaS Provisioning Orders"
首页,首页
"SaaS 一站式配置","SaaS One-Stop"
配置订单,"Provisioning Orders"
搜索域名,搜索域名
搜索,搜索
重置,重置
订单ID,订单ID
状态,状态
当前步骤,当前步骤
错误信息,错误信息
创建时间,创建时间
暂无数据,"No data"
"共 %{total} 条","Total %{total} records"
未找到该域名的生命周期订单,未找到该域名的生命周期订单
"域名购买成功后续 DNS 步骤失败：%{1}","DNS step after domain purchase failed: %{1}"
"SaaS 配置订单表","SaaS provisioning order table"
配置订单ID,配置订单ID
域名商账号ID,域名商账号ID
"DNS 供应商代码","DNS 供应商代码"
"DNS 账户ID","DNS 账户ID"
"CDN 供应商代码","CDN 供应商代码"
"CDN 账户ID","CDN 账户ID"
网站ID,网站ID
是否申请SSL证书,是否申请SSL证书
更新时间,更新时间
"SaaS 配置步骤表","SaaS provisioning step table"
步骤ID,步骤ID
步骤名,步骤名
供应商代码,供应商代码
账户ID,账户ID
结果JSON,结果JSON
域名商账号不存在,域名商账号不存在
域名商适配器不存在：%{1},域名商适配器不存在：%{1}
"域名商 %{1} 不支持 NS 切换","域名商 %{1} 不支持 NS 切换"
